id,SuraID1,VerseID1,Text1,SuraID2,VerseID2,Text2,is_similar
23,11,63,"He said: O my people! Bethink you: if I am (acting) on clear proof from my Lord and there hath come unto me a mercy from Him, who will save me from Allah if I disobey Him? Ye would add to me naught save perdition.",50,24,"(And it is said): Do ye twain hurl to hell each rebel ingrate,",0
24,11,71,"And his wife, standing by laughed when We gave her good tidings (of the birth) of Isaac, and, after Isaac, of Jacob.",50,32,"(And it is said): This is that which ye were promised. (It is) for every penitent and heedful one,",0
25,4,157,"and their saying: 'We slew the Messiah, Jesus, son of Mary', the Messenger of Allah - whereas in fact they had neither slain him nor crucified him but the matter was made dubious to them - and those who differed about it too were in a state of doubt! They have no definite knowledge of it, but merely follow conjecture; and they surely slew him not,",3,55,"(And it was part of His scheme) when Allah said: 'O Jesus! I will recall you and raise you up to Me and will purify you (of the company) of those who disbelieve, and will set your followers above the unbelievers till the Day of Resurrection. Then to Me you shall return, and I will judge between you regarding what you differed.",1
26,6,89,"Those are they unto whom We gave the Scripture and command and prophethood. But if these disbelieve therein, then indeed We shall entrust it to a people who will not be disbelievers therein.",38,26,"(And it was said unto him): O David! Lo! We have set thee as a viceroy in the earth; therefor judge aright between mankind, and follow not desire that it beguile thee from the way of Allah. Lo! those who wander from the way of Allah have an awful doom, forasmuch as they forgot the Day of Reckoning.",0
27,6,105,"Thus do We display Our revelations that they may say (unto thee, Muhammad): &quot;Thou hast studied,&quot; and that We may make (it) clear for people who have knowledge.",38,42,(And it was said unto him): Strike the ground with thy foot. This (spring) is a cool bath and a refreshing drink.,0
28,21,12,"And, when they felt Our might, behold them fleeing from it!",76,22,(And it will be said unto them): Lo! this is a reward for you. Your endeavour (upon earth) hath found acceptance.,0
29,11,98,"He will go before his people on the Day of Resurrection and will lead them to the Fire for watering-place. Ah, hapless is the watering-place (whither they are) led.",51,14,(And it will be said unto them): Taste your torment (which ye inflicted). This is what ye sought to hasten.,0
30,18,89,Then he followed a road,69,24,(And it will be said unto those therein): Eat and drink at ease for that which ye sent on before you in past days.,0
31,9,108,"Never stand (to pray) there. A place of worship which was found upon duty (to Allah) from the first day is more worthy that thou shouldst stand (to pray) therein, wherein are men who love to purify themselves. Allah loveth the purifiers.",44,47,"(And it will be said): Take him and drag him to the midst of hell,",0
32,7,193,"And if you call them to true guidance, they will not follow you. It is all the same for you whether you call them to true guidance or keep silent.",19,42,"(And remind people) when he said to his father: ""Father! Why do you worship that which neither sees nor hears, and which can be of no avail to you?",1
33,6,74,"And recall when Abraham said to his father, Azar: 'Do you take idols for gods? I see you and your people in obvious error.'",19,42,"(And remind people) when he said to his father: ""Father! Why do you worship that which neither sees nor hears, and which can be of no avail to you?",1
34,16,123,"And afterward We inspired thee (Muhammad, saying): Follow the religion of Abraham, as one by nature upright. He was not of the idolaters.",59,16,"(And the hypocrites are) on the likeness of the devil when he telleth man to disbelieve, then, when he disbelieveth saith: Lo! I am quit of thee. Lo! I fear Allah, the Lord of the Worlds.",0
35,8,71,"And if they would betray thee, they betrayed Allah before, and He gave (thee) power over them. Allah is Knower, Wise.",43,24,(And the warner) said: What! Even though I bring you better guidance than that ye found your fathers following? They answered: Lo! in what ye bring we are disbelievers.,0
36,11,106,"As for the wretched, they shall be in the Fire, and in it they shall sigh and groan.",26,83,"(And then Abraham prayed): ""My Lord, endow me with knowledge and wisdom and join me with the righteous,",0
37,11,61,"And unto (the tribe of) Thamud (We sent) their brother Salih. He said: O my people! Serve Allah, Ye have no other Allah save Him. He brought you forth from the earth and hath made you husband it. So ask forgiveness of Him and turn unto Him repentant. Lo! my Lord is Nigh, Responsive.",50,22,"(And unto the evil-doer it is said): Thou wast in heedlessness of this. Now We have removed from thee thy covering, and piercing is thy sight this day.",0
38,26,87,"And abase me not on the day when they are raised,",98,7,(And) lo! those who believe and do good works are the best of created beings.,0
39,2,117,"He is the Creator of the heavens and the earth: when He decrees a thing, He merely says, ""Be,"" and there it is.",16,40,"(As for the possibility of resurrection, bear in mind that) whenever We do will something, We have to do no more than say: ""Be"", and it is.",1
40,6,156,(You may no longer) say now that the Book was revealed only to two groups of people before Us and that we had indeed been unaware of what they read.,24,8,"(As for the woman), it shall avert the punishment from her if she swears four times by Allah that the man is false (in his charge)",0
41,20,132,"And enjoin upon thy people worship, and be constant therein. We ask not of thee a provision: We provided for thee. And the sequel is for righteousness.",76,7,"(Because) they perform the vow and fear a day whereof the evil is wide-spreading,",0
42,19,54,"And make mention in the Scripture of Ishmael. Lo! he was a keeper of his promise, and he was a messenger (of Allah), a prophet.",71,3,"(Bidding you): Serve Allah and keep your duty unto Him and obey me,",0
43,21,6,Not a township believed of those which We destroyed before them (though We sent them portents): would they then believe?,76,16,"(Bright as) glass but (made) of silver, which they (themselves) have measured to the measure (of their deeds).",0
44,7,45,"Who debar (men) from the path of Allah and would have it crooked, and who are disbelievers in the Last Day.",39,59,"(But now the answer will be): Nay, for My revelations came unto thee, but thou didst deny them and wast scornful and wast among the disbelievers.",0
45,41,44,"Had We revealed this as a non-Arabic Quran they would have said: _Why were its verses not clearly expounded? How strange, a non-Arabic scripture and an Arab audience!ù Tell them: _It is a guidance and a healing to the believers. But to those who do not believe, it serves as a plug in their ears and a covering over their eyes. It is as if they are being called from a place far away.",26,198,(But such is their adamance) that had We revealed it to one of the non-Arabs and even if he had recited (this clear Arabic discourse) to them,1
46,3,154,"Then, after inflict-ing this grief, He sent down an inner peace upon you - a sleep which overtook some of you. Those who were concerned merely about themselves, entertaining false notions about Allah - the notions of the Age of Ignorance - asked: 'Have we any say in the matter?' Tell them: 'Truly, all power of decision rests solely with Allah.' Indeed, they conceal in their hearts what they would not reveal to you, saying: 'If we had any power of decision, we would not have been slain here.' Say: 'Even if you had been in your houses, those for whom slaying had been appointed would have gone forth to the places where they were to be slain.' And all this happened so that Allah might test your secret thoughts and purge your hearts of all impurities. Allah knows well what is in the breasts of men.",48,12,"(But the truth is not what you say.) You had imagined that the Messenger and the believers would never return to their families, and this notion was embellished in your hearts. You harboured an evil thought, and you are an immensely evil people.ù",1
47,6,87,With some of their forefathers and their offspring and their brethren; and We chose them and guided them unto a straight path.,38,24,"(David) said: He hath wronged thee in demanding thine ewe in addition to his ewes, and lo! many partners oppress one another, save such as believe and do good works, and they are few. And David guessed that We had tried him, and he sought forgiveness of his Lord, and he bowed himself and fell down prostrate and repented.",0
48,2,233,"The (divorced) mothers shall suckle their children for two whole years, if the fathers desire the suckling to be completed. In that case the father of the child shall, in the fair known way, be responsible for their food and clothing. But none should be burdened with more than one can bear: neither the mother should be pressed unjustly (to accept unfair terms) just because she is the mother nor should the father be burdened just because he is the father. And the same responsibility for the maintenance of the mother devolves upon the father of the child and his heir. There is no harm if they wean the child by mutual consent and consultation. Moreover, there is no harm if you choose to give your children a suckle by a wet nurse, provided that you pay her fairly. Fear Allah and know it well that whatever you do is in the sight of Allah.",65,6,"(During the waiting period) lodge them according to your means wherever you dwell, and do not harass them to make them miserable. And if they are pregnant, provide for them maintenance until they have delivered their burden. And if they suckle your offspring whom they bore you, then give them due recompense, and graciously settle the question of compensation between yourselves by mutual understanding. But if you experience difficulty (in determining the compensation for suckling) then let another woman suckle the child.",1
49,15,67,"And the people of the city came, rejoicing at the news (of new arrivals).",56,8,(First) those on the right hand; what of those on the right hand?,0
50,16,119,"Then lo! thy Lord - for those who do evil in ignorance and afterward repent and amend - lo! (for them) thy Lord is afterward indeed Forgiving, Merciful.",59,12,"(For) indeed if they are driven out they go not out with them, and indeed if they are attacked they help them not, and indeed if they had helped them they would have turned and fled, and then they would not have been victorious.",0
51,48,2,"so that Allah may forgive you your shortcomings, whether earlier or later, and may complete His favours upon you and guide you to the Straight Way,",48,5,"(He did this) to admit the believers, both men and women, to Gardens beneath which rivers flow, wherein they shall abide, and to efface their evil deeds from them. That, in Allah's sight, is the supreme triumph.",1
52,20,7,"And if thou speakest aloud, then lo! He knoweth the secret (thought) and (that which is yet) more hidden.",72,26,"(He is) the Knower of the Unseen, and He revealeth unto none His secret,",0
53,6,33,"(O Muhammad!) We know indeed that the things they say grieve you, though in truth it is not you whom they give the lie to, but it is the signs of Allah that these wrong-doers reject.",35,8,"(How awful is the straying of the person) for whom his evil deed has been embellished so that it looks fair to him? The fact is that Allah causes whomsoever He will to fall into error and shows the Right Way to whomsoever He will. So, (O Prophet), let not your life go to waste sorrowing over them. Allah is well aware of all that they do.",1
54,18,6,"(O Muhammad), if they do not believe in this Message, you will perhaps torment yourself to death with grief, sorrowing over them.",35,8,"(How awful is the straying of the person) for whom his evil deed has been embellished so that it looks fair to him? The fact is that Allah causes whomsoever He will to fall into error and shows the Right Way to whomsoever He will. So, (O Prophet), let not your life go to waste sorrowing over them. Allah is well aware of all that they do.",1
55,26,3,"(O Muhammad), you will perhaps grieve yourself to death because these people do not believe.",35,8,"(How awful is the straying of the person) for whom his evil deed has been embellished so that it looks fair to him? The fact is that Allah causes whomsoever He will to fall into error and shows the Right Way to whomsoever He will. So, (O Prophet), let not your life go to waste sorrowing over them. Allah is well aware of all that they do.",1
56,10,99,"Had your Lord so willed, all those who are on the earth would have believed. Will you, then, force people into believing?",35,8,"(How awful is the straying of the person) for whom his evil deed has been embellished so that it looks fair to him? The fact is that Allah causes whomsoever He will to fall into error and shows the Right Way to whomsoever He will. So, (O Prophet), let not your life go to waste sorrowing over them. Allah is well aware of all that they do.",1
57,2,14,"And when they fall in with those who believe, they say: We believe; but when they go apart to their devils they declare: Lo! we are with you; verily we did but mock.",26,207,(How) that wherewith they were contented naught availeth them?,0
58,2,57,"(Remember that) We caused the cloud to overshadow you and provided you with manna and salva for your food, saying, ""Eat of the clean and pure things We have bestowed upon you"" (In spite of this, your forefathers violated Our commands:) however, they did not harm Us but harmed only themselves.",2,210,"(If people do not follow the right way even after receiving such clear admonitions), do they await that Allah Himself should come down to them in the canopies of clouds with a retinue of angels, and seal their doom Ultimately every thing shall be presented before Allah (for judgement).",1
59,25,25,"On that Day, a cloud will appear rending the sky and the angels will be senthi down rank after rank.",2,210,"(If people do not follow the right way even after receiving such clear admonitions), do they await that Allah Himself should come down to them in the canopies of clouds with a retinue of angels, and seal their doom Ultimately every thing shall be presented before Allah (for judgement).",1
60,45,3,"Behold, for those who believe there are (myriad) Signs in the heavens and the earth",2,164,"(If they want a sign for the perception of this Reality) surety there are countless signs for those who use their common sense; they can see alternation of the night and day, in the ships that sail the ocean laden with cargoes beneficial to mankind, and in the rain-water which Allah sends down from the sky and thereby gives life to the earth after its death and spreads over it all kinds of animate creatures, in the blowing of the winds and in the clouds which obediently wait for orders between the sky and the earth.",1
61,2,83,"Remember that We made a solemn covenant with the children of Israel to this effect: worship none save Allah: be good to your parents, to your relatives, to the orphans and to the helpless; speak aright with the people: establish the Salat and pay the Zakat. But with the exception of a few, you all slid back from it and are paying no heed to it even now.",17,26,"(iii) Give to the near of kin his due, and also to the needy and the wayfarer. (iv) Do not squander your wealth wastefully,",1
62,16,90,"Surely Allah enjoins justice, kindness and the doing of good to kith and kin, and forbids all that is shameful, evil and oppressive. He exhorts you so that you may be mindful.",17,26,"(iii) Give to the near of kin his due, and also to the needy and the wayfarer. (iv) Do not squander your wealth wastefully,",1
63,15,39,"He said: My Lord! Because Thou hast sent me astray, I verily shall adorn the path of error for them in the earth, and shall mislead them every one,",55,58,(In beauty) like the jacynth and the coral-stone.,0
64,7,73,"And to (the tribe of) Thamud (We sent) their brother Salih. He said: O my people! Serve Allah. Ye have no other Allah save Him. A wonder from your Lord hath come unto you. Lo! this is the camel of Allah, a token unto you; so let her feed in Allah_s earth, and touch her not with hurt lest painful torment seize you.",40,12,"(It is said unto them): This is (your plight) because, when Allah only was invoked, ye disbelieved, but when some partner was ascribed to Him ye were believing. But the command belongeth only to Allah, the Sublime, the Majestic.",0
65,11,29,"And O my people! I ask of you no wealth therefor. My reward is the concern only of Allah, and I am not going to thrust away those who believe - Lo! they have to meet their Lord! - but I see you a folk that are ignorant.",49,8,"(It is) a bounty and a grace from Allah; and Allah is Knower, Wise.",0
66,21,73,"And We made them chiefs who guide by Our command, and We inspired in them the doing of good deeds and the right establishment of worship and the giving of alms, and they were worshippers of Us (alone).",78,2,"(It is) of the awful tidings,",0
67,11,97,"Unto Pharaoh and his chiefs, but they did follow the command of Pharaoh, and the command of Pharaoh was no right guide.",51,13,"(It is) the day when they will be tormented at the Fire,",0
68,26,135,Lo! I fear for you the retribution of an awful day.,104,6,"(It is) the fire of Allah, kindled,",0
69,25,63,"The (faithful) slaves of the Beneficent are they who walk upon the earth modestly, and when the foolish ones address them answer: Peace;",90,13,"(It is) to free a slave,",0
70,21,50,This is a blessed Reminder that we have revealed: Will ye then reject it?,77,29,(It will be said unto them:) Depart unto that (doom) which ye used to deny;,0
71,18,95,"He said: That wherein my Lord hath established me is better (than your tribute). Do but help me with strength (of men), I will set between you and them a bank.",69,30,(It will be said): Take him and fetter him,0
72,4,93,"And he who slays a believer wilfully his reward is Hell, where he will abide. Allah's wrath is against him and He has cast His curse upon him, and has prepared for him a great chastisement.",17,33,"(ix) Do not kill any person whom Allah has forbidden to kill, except with right. We have granted the heir of him who has been wrongfully killed the authority to (claim retribution); so let him not exceed in slaying. He shall be helped.",1
73,5,72,"And surely they disbelieved when they said: 'Christ, the son of Mary, is indeed God'; whereas Christ had said: 'Children of Israel! Serve Allah, Who is your Lord and my Lord.' Allah has forbidden Paradise to those who associate anything with Him in His divinity and their refuge shall be the Fire. No one will be able to help such wrong-doers.",19,36,"(Jesus had said): ""Indeed Allah is my Lord and your Lord, so serve Him alone. This is the Straight Way.""",1
74,7,6,"So We shall call to account those to whom Messengers were sent, and We shall call to account the Messengers (to see how dutifully they conveyed the Message, and how people responded to it).",28,65,"(Let them not disregard) that the Day when Allah will call out to them saying: ""What was the answer you gave to the Messengers?""",1
75,6,22,"And on the Day when We shall gather them all together, We shall ask those who associated others with -Allah in His divinity: 'Where, now, are your partners whom you imagined (to have a share in the divinity of Allah)?'",28,62,"(Let them not forget) that the Day when Allah will call unto them, and say: ""Where are those whom you imagined to be My associates?""",1
76,8,65,"O Prophet! Exhort the believers to fight. If there be of you twenty steadfast they shall overcome two hundred, and if there be of you a hundred (steadfast) they shall overcome a thousand of those who disbelieve, because they (the disbelievers) are a folk without intelligence.",43,18,"(Liken they then to Allah) that which is bred up in outward show, and in dispute cannot make itself plain?",0
77,21,47,"We shall set up just scales on the Day of Resurrection so that none will be wronged in the least. (We shall bring forth the acts of everyone), even if it be the weight of a grain of mustard seed. We shall suffice as Reckoners.",31,16,"(Luqman said): _Son, Allah will bring forth everything even if it be as small as the grain of a mustard seed even though it be hidden inside a rock or (anywhere) in the heavens or earth. Allah is Most Subtle, All-Aware.",1
78,7,141,"And (remember) when We did deliver you from Pharaoh_s folk who were afflicting you with dreadful torment, slaughtering your sons and sparing your women. That was a tremendous trial from your Lord.",40,80,"(Many) benefits ye have from them - and that ye may satisfy by their means a need that is in your breasts, and may be borne upon them as upon the ship.",0
79,20,4,"A revelation from Him Who created the earth and the high heavens,",72,23,"(Mine is) but conveyance (of the Truth) from Allah, and His messages; and whoso disobeyeth Allah and His messenger, lo! his is fire of hell, wherein such dwell for ever.",0
80,15,85,"We created not the heavens and the earth and all that is between them save with truth, and lo! the Hour is surely coming. So forgive, (O Muhammad), with a gracious forgiveness.",56,26,"(Naught) but the saying: Peace, (and again) Peace.",0
81,22,9,"Turning away in pride to beguile (men) from the way of Allah. For him in this world is ignominy, and on the Day of Resurrection We make him taste the doom of burning.",79,10,(Now) they are saying: Shall we really be restored to our first state,0
82,8,59,"Let not the deniers of the truth be deluded that they will gain any advantage. Surely, they, can never overcome Us!",3,196,(O Messenger!) Do not let the strutting about of the unbelievers in the land deceive you.,1
83,40,4,None but the unbelievers dispute regarding the Signs of Allah. So let not their strutting about in the land delude you.,3,196,(O Messenger!) Do not let the strutting about of the unbelievers in the land deceive you.,1
84,24,48,"When they are called to Allah and His Messenger so that the Messenger may judge between them, a party of them turns away.",4,60,"(O Messenger!) Have you not seen those who claim to believe in the Book which has been revealed to you and in the Books revealed before you, and yet desire to submit their disputes to the judgement of taghut (the Satanic authorities who decide independently of the Law of Allah), whereas they had been asked to reject it. And Satan seeks to make them drift far away from the right way.",1
85,2,239,"Even if you are in danger, you must offer your Prayers anyhow on foot or on horseback. And when you have peace again, remember Allah in the manner He has taught you, which you did not know before.",4,102,"(O Messenger!) If you are among the believers and rise (in the state of war) to lead the Prayer for them, let a party of them stand with you to worship, keeping their arms. When they have performed their prostration, let them go behind you, and let another party who have not prayed, pray with you, remaining on guard and keeping their arms, for the unbelievers love to see you heedless of your arms and your baggage so that they might swoop upon you in a surprise attack. But there shall be no blame upon you if you were to lay aside your arms if you are either troubled by rain or are sick; but remain on guard. Surely Allah has prepared a humiliating chastisement for the unbelievers.",1
86,32,30,So (leave them to themselves and) turn away from them and wait; they too are waiting.,6,106,"(O Muhammad!) Follow the revelation which has come to you from your Lord, other than Whom there is no god, and turn away from those who associate others with Allah in His divinity.",1
87,30,30,"(O Prophet and his followers), turn your face singlemindedly to the true Faith and adhere to the true nature on which Allah has created human beings. The mould fashioned by Allah cannot be altered. That is the True, Straight Faith, although most people do not know.",6,116,"(O Muhammad!) If you obey the majority of those who live on earth, they will lead you away from Allah's path. They only follow idle fancies, indulging in conjecture.",1
88,34,28,"(O Prophet), We have not sent you forth but as a herald of good news and a warner for all mankind. But most people do not know.",6,116,"(O Muhammad!) If you obey the majority of those who live on earth, they will lead you away from Allah's path. They only follow idle fancies, indulging in conjecture.",1
89,12,103,"And most of the people, howsoever you might so desire, are not going to believe.",6,116,"(O Muhammad!) If you obey the majority of those who live on earth, they will lead you away from Allah's path. They only follow idle fancies, indulging in conjecture.",1
90,11,17,"Can it happen that he who takes his stand on a clear evidence from his Lord, subsequently followed by a witness from Him (in his support), and prior to that the Book of Moses was revealed as a guide and a mercy, (would even he deny the truth in the manner of those who adore the life of this world)? Rather, such men are bound to believe in it. The Fire shall be the promised resort of the groups that disbelieve. So be in no doubt about it for this indeed is the truth from your Lord although most people do not believe.",6,116,"(O Muhammad!) If you obey the majority of those who live on earth, they will lead you away from Allah's path. They only follow idle fancies, indulging in conjecture.",1
91,5,49,"Therefore, judge bet-ween them (O Muhammad!) by what Allah has revealed and do not follow their desires, and beware lest they tempt you away from anything of what Allah has revealed to you. And if they turn away, then know well that Allah has indeed decided to afflict them for some of their sins. For surely many of them are transgressors.",6,116,"(O Muhammad!) If you obey the majority of those who live on earth, they will lead you away from Allah's path. They only follow idle fancies, indulging in conjecture.",1
92,12,102,"(O Muhammad), this is part of news from the Unseen that We reveal to you for you were not present with them when Joseph's brothers jointly resolved on a plot.",3,44,"(O Muhammad!) We reveal to you this account from a realm which lies beyond the reach of your perception for you were not with them when they drew lots with their pens about who should be Mary's guardian, and you were not with them when they disputed about it.",1
93,28,44,"(O Muhammad), you were then not on the western side when We bestowed this commandment (of Law), and you were not among its witnesses.",3,44,"(O Muhammad!) We reveal to you this account from a realm which lies beyond the reach of your perception for you were not with them when they drew lots with their pens about who should be Mary's guardian, and you were not with them when they disputed about it.",1
94,6,71,"Ask them (O Muharnmad!): ""Shall we invoke, apart from Allah, something that can neither benefit nor harm us, and thus be turned back on our heels after Allah has guided us? Like the one whom the evil ones have lured into bewilderment in the earth, even though he has friends who call him to true guidance saying: ""Come to us."" Say: ""Surely Allah's guidance is the only true guidance, and we have been commanded to submit ourselves to the Lord of the entire universe,",16,37,"(O Muhammad), howsoever eager you may be to show them the Right Way, Allah does not bestow His guidance on those whom He lets go astray; and in fact none will be able to help them.",1
95,13,33,"Is it, then, in regard to Him Who watches over the deeds of every person that they are acting blasphemously by setting up His associates? Tell them: ""Name those associates (if Allah Himself has made them His associates)! Or are you informing Allah of something the existence of which He does not even know?"" Or do people arbitrarily utter empty words? Indeed, their foul contriving has been made to seem fair to the unbelievers and they have been barred from finding the Right Way. Whomsoever Allah lets go astray will have none to guide him.",16,37,"(O Muhammad), howsoever eager you may be to show them the Right Way, Allah does not bestow His guidance on those whom He lets go astray; and in fact none will be able to help them.",1
96,6,33,"(O Muhammad!) We know indeed that the things they say grieve you, though in truth it is not you whom they give the lie to, but it is the signs of Allah that these wrong-doers reject.",18,6,"(O Muhammad), if they do not believe in this Message, you will perhaps torment yourself to death with grief, sorrowing over them.",1
97,26,3,"(O Muhammad), you will perhaps grieve yourself to death because these people do not believe.",18,6,"(O Muhammad), if they do not believe in this Message, you will perhaps torment yourself to death with grief, sorrowing over them.",1
98,28,44,"(O Muhammad), you were then not on the western side when We bestowed this commandment (of Law), and you were not among its witnesses.",12,102,"(O Muhammad), this is part of news from the Unseen that We reveal to you for you were not present with them when Joseph's brothers jointly resolved on a plot.",1
99,28,44,"(O Muhammad), you were then not on the western side when We bestowed this commandment (of Law), and you were not among its witnesses.",20,99,"(O Muhammad), thus do We recount to you the events of the past, and We have bestowed upon you from Ourself an admonition.",1
100,63,10,"And spend of what Allah has granted you by way of sustenance before death should come to any of you and he should say: _Lord, why did You not defer my return for a while so that I might give alms and be among the righteous?ù",14,44,"(O Muhammad), warn mankind of the Day when a severe chastisement shall overtake them, and the wrong-doers will say: ""Our Lord, grant us respite for a short while; we shall respond to Your call and will follow Your Messengers."" (But they will be clearly told): ""Are you not the same who swore earlier that they shall never suffer decline?""",1
101,15,90,even as We had sent warning to those who had divided their religion into fragments;,14,44,"(O Muhammad), warn mankind of the Day when a severe chastisement shall overtake them, and the wrong-doers will say: ""Our Lord, grant us respite for a short while; we shall respond to Your call and will follow Your Messengers."" (But they will be clearly told): ""Are you not the same who swore earlier that they shall never suffer decline?""",1
102,7,100,"Has it not, then, become plain to those who have inherited the earth in the wake of the former generations that, had We so willed, We could have afflicted them for their sins, (they, however, are heedless to basic facts and so) We seal their hearts so that they hear nothing.",14,44,"(O Muhammad), warn mankind of the Day when a severe chastisement shall overtake them, and the wrong-doers will say: ""Our Lord, grant us respite for a short while; we shall respond to Your call and will follow Your Messengers."" (But they will be clearly told): ""Are you not the same who swore earlier that they shall never suffer decline?""",1
